"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"MG","48194",3141009,"Minas Gerais","2","Norte de Minas","4","Janaúba","Mato Verde","3","Sudeste"
"MG","48216",3141108,"Minas Gerais","7","Metropolitana de Belo Horizonte","27","Sete Lagoas","Matozinhos","3","Sudeste"
"MG","48232",3141207,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","20","Patos de Minas","Matutina","3","Sudeste"
"MG","48259",3141306,"Minas Gerais","9","Oeste de Minas","42","Piuí","Medeiros","3","Sudeste"
"MG","48275",3141405,"Minas Gerais","3","Jequitinhonha","13","Pedra Azul","Medina","3","Sudeste"
"MG","48291",3141504,"Minas Gerais","8","Vale do Rio Doce","38","Mantena","Mendes Pimentel","3","Sudeste"
"MG","48313",3141603,"Minas Gerais","12","Zona da Mata","64","Ubá","Mercês","3","Sudeste"
"MG","48330",3141702,"Minas Gerais","8","Vale do Rio Doce","39","Ipatinga","Mesquita","3","Sudeste"
"MG","48356",3141801,"Minas Gerais","3","Jequitinhonha","11","Capelinha","Minas Novas","3","Sudeste"
"MG","48372",3141900,"Minas Gerais","10","Sul/Sudoeste de Minas","55","Andrelândia","Minduri","3","Sudeste"
"MG","48399",3142007,"Minas Gerais","2","Norte de Minas","7","Montes Claros","Mirabela","3","Sudeste"
"MG","48410",3142106,"Minas Gerais","12","Zona da Mata","63","Muriaé","Miradouro","3","Sudeste"
"MG","48437",3142205,"Minas Gerais","12","Zona da Mata","63","Muriaé","Miraí","3","Sudeste"
"MG","41068",3142254,"Minas Gerais","2","Norte de Minas","3","Januária","Miravânia","3","Sudeste"
"MG","48453",3142304,"Minas Gerais","7","Metropolitana de Belo Horizonte","32","Itaguara","Moeda","3","Sudeste"
"MG","48470",3142403,"Minas Gerais","6","Central Mineira","26","Bom Despacho","Moema","3","Sudeste"
"MG","48496",3142502,"Minas Gerais","6","Central Mineira","25","Curvelo","Monjolos","3","Sudeste"
"MG","48518",3142601,"Minas Gerais","10","Sul/Sudoeste de Minas","50","Varginha","Monsenhor Paulo","3","Sudeste"
"MG","48534",3142700,"Minas Gerais","2","Norte de Minas","3","Januária","Montalvânia","3","Sudeste"
"MG","48550",3142809,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","18","Uberlândia","Monte Alegre de Minas","3","Sudeste"
"MG","48577",3142908,"Minas Gerais","2","Norte de Minas","4","Janaúba","Monte Azul","3","Sudeste"
"MG","48593",3143005,"Minas Gerais","10","Sul/Sudoeste de Minas","48","São Sebastião do Paraíso","Monte Belo","3","Sudeste"
"MG","48615",3143104,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","19","Patrocínio","Monte Carmelo","3","Sudeste"
